nuclides,reactions,groups,xs
Ti50,"(n,2n)",1,7.156569308788813e-05
Ti50,"(n,p)",1,3.218245148253376e-06
Ti50,"(n,a)",1,3.2443431892857977e-06
Ti50,"(n,3n)",1,0.0
Ti50,"(n,4n)",1,0.0
Ti50,fission,1,0.0
V49,"(n,gamma)",1,4.272187977166809
V49,"(n,2n)",1,1.3054439067796815e-05
V49,"(n,p)",1,15.135880376542625
V49,"(n,a)",1,0.00010109995114259089
V49,"(n,3n)",1,0.0
V49,"(n,4n)",1,0.0
V49,fission,1,0.0
V50,"(n,gamma)",1,7.609178235697067
V50,"(n,2n)",1,0.00012171186420018392
V50,"(n,p)",1,0.002759627604068377
V50,"(n,a)",1,5.592503139110566e-05
V50,"(n,3n)",1,0.0
V50,"(n,4n)",1,0.0
V50,fission,1,0.0
V51,"(n,gamma)",1,0.7299830354807328
V51,"(n,2n)",1,4.785979825085069e-05
V51,"(n,p)",1,0.0001551060007276829
V51,"(n,a)",1,8.359465872334078e-06
V51,"(n,3n)",1,0.0
V51,"(n,4n)",1,0.0
V51,fission,1,0.0
Cr50,"(n,gamma)",1,2.2599031212757694
Cr50,"(n,2n)",1,1.1616912884612209e-06
Cr50,"(n,p)",1,0.014292366958282458
Cr50,"(n,a)",1,0.0010015646125984526
Cr50,"(n,3n)",1,0.0
Cr50,"(n,4n)",1,0.0
Cr50,fission,1,0.0
Cr51,"(n,gamma)",1,1.5873132359732063
Cr51,"(n,2n)",1,8.00597458511104e-05
Cr51,"(n,p)",1,1.1128751573887843
Cr51,"(n,a)",1,1.458752353408313
Cr51,"(n,3n)",1,0.0
Cr51,"(n,4n)",1,0.0
Cr51,fission,1,0.0
Cr52,"(n,gamma)",1,0.12916428100463995
Cr52,"(n,2n)",1,1.8291952476822377e-05
Cr52,"(n,p)",1,0.0002965518035097914
Cr52,"(n,a)",1,3.712865000751501e-05
Cr52,"(n,3n)",1,0.0
Cr52,"(n,4n)",1,0.0
Cr52,fission,1,0.0
Cr53,"(n,gamma)",1,2.6503361840735224
Cr53,"(n,2n)",1,0.0003586117164969787
Cr53,"(n,p)",1,0.00011484226464891286
Cr53,"(n,a)",1,0.0002452809326342814
Cr53,"(n,3n)",1,0.0
Cr53,"(n,4n)",1,0.0
Cr53,fission,1,0.0
Cr54,"(n,gamma)",1,0.06151994666326356
Cr54,"(n,2n)",1,0.0001783989315242627
Cr54,"(n,p)",1,3.2145058653438944e-06
